,tag_name,topic_name
240,nosql,Databases
241,computer_training,Mixed_9
242,motion_graphics,3D - Design
243,mobile_technology,Mobile development
244,mobile_game_development,Video Games - AR/VR
245,salesforce.com_integration,IT_operations
246,transmedia,Video Games - AR/VR
247,advanced_sql_server,Databases
248,behavioural_economics,Design (UI/UX)
249,xslt,"Website Development (PHP, Drupal)"
250,computer_club,Mixed_9
251,charity,Mixed_22
252,hackers_and_makers,Coding - Wearables - IoT - Hardware
253,experience_design,Design (UI/UX)
254,swift,Mobile development
255,css3,Front-end development
256,adobe_creative_suite,Digital Marketing
257,monitoring,IT_operations
258,open_data,Data Science
259,web_application_security,Cyber Security
260,agile_transformation,Project Management
261,technology_networking,Mixed_9
262,over_60+_social_club,Mixed_9
263,customer_relationship_management,Design (UI/UX)
264,spark,Data Science
265,scala_programming,Programming
266,business_analysis_tools_and_techniques,Cloud - Mixed_21
267,bluetooth_low_energy,Mixed_15
268,bristol,Front-end development
269,wordpress_themes,Digital Marketing
270,pmp_certification,Project Management
271,cryptoequity,Blockchain
272,adobe_flash,Digital Marketing
273,web_components,Mobile development
274,scala_play_framework,Programming
275,omniture,Data Science
276,social_enterprise,Digital Marketing
277,christian_social,Mixed_9
278,load_testing_and_performance,Mixed_26
279,copywriting,Digital Marketing
280,future_technology_trends,Mixed_9
281,indie_game_development,Mobile development
282,beginner_ios_developers,Mobile development
283,vr,Video Games - AR/VR
284,artificial_intelligence_programming,Data Science
285,open_innovation,Mixed_15
286,mathematical_modelling,Data Science
287,censorship_and_freedom_of_speech,Blockchain
288,linkedin,Digital Marketing
289,exercise,Mixed_15
290,ux_creatives,Design (UI/UX)
291,google_glass,Coding - Wearables - IoT - Hardware
292,open_source_hardware,Coding - Wearables - IoT - Hardware
293,"s_social"",_",Coding - Wearables - IoT - Hardware
294,agile_business_analysts,Project Management
295,business_intelligence_best_practices,Data Science
296,software_craftsmanship,Mixed_20
297,adobe_indesign,Digital Marketing
298,business_intelligence_strategy,Data Science
299,c_sharp,Video Games - AR/VR
300,renewable_energy,Mixed_15
301,local_heritage,"Website Development (PHP, Drupal)"
302,mobile_app_development,Mobile development
303,software_project_management,Project Management
304,manufacturing,Coding - Wearables - IoT - Hardware
305,healthcare_startups,Healthcare - AI
306,economics,Mixed_9
307,network_management_and_monitoring,IT_operations
308,xml,Databases
309,risk_governance_and_compliance,Cyber Security
310,cloud_identity,Mixed_9
311,online_marketing,Digital Marketing
312,applied_statistics,Data Science
313,bigdatadevelopers,Data Science
314,android_app_architecture,Mobile development
315,fabrication,Mixed_9
316,maker_innovation_ecosystem,Coding - Wearables - IoT - Hardware
317,behaviour_driven_development,Mixed_26
318,java,"Website Development (ruby, java)"
319,creative_circle,3D - Design
320,akka,Programming
321,mongodb,Databases
322,sql_server_2008,Databases
323,behavior_driven_development,Mixed_26
324,introduction_to_alfresco_cms,"Website Development (PHP, Drupal)"
325,"women_""startup""_entrepreneurs",Mixed_22
326,agile_programming_and_python,Programming
327,3d_printers,3D - Design
328,game_design,Video Games - AR/VR
329,hardware_engineering,Coding - Wearables - IoT - Hardware
330,live_music,3D - Design
331,beginner_web_developer,"Website Development (PHP, Drupal)"
332,music_industry,Mixed_9
333,computational_biology,Healthcare - AI
334,ec2,IT_operations
335,co-working_space,Mixed_22
336,create_a_blog,Digital Marketing
337,future_of_news,Digital Marketing
338,organisational_change,Mixed_26
339,high_tech,Design (UI/UX)
340,3d_artists,3D - Design
341,artificial_intelligence_machine_learning_robotics,Data Science
342,android_app_marketing,Mobile development
343,json,Front-end development
344,machine_learning,Data Science
345,arduino_and_robotics,Coding - Wearables - IoT - Hardware
346,vim,Programming
347,salesforce.com_and_force.com,IT_operations
348,ux_research,Design (UI/UX)
349,blackberry_apps,Mixed_9
350,blackberry_developers_&_applications,Mixed_9
351,inbound_marketing,Digital Marketing
352,sql_server,Databases
353,user_experience_design,Design (UI/UX)
354,windows,IT_operations
355,getting_started_with_python,Programming
356,startup_accelerators,Mixed_22
357,digital_marketing_strategy,Digital Marketing
358,magento_designers,e-Commerce
359,database_professionals,Databases
360,web_development,"Website Development (ruby, java)"
361,tdd,Mixed_20
362,aerial_videography,Healthcare - AI
363,electronic_music,Mixed_15
364,operations_and_data_center_management,IT_operations
365,erp_software,Cloud - Mixed_21
366,trends_and_forecasting,Data Science
367,mobile_developers,Mobile development
368,graduate_students,Mixed_22
369,google_cardboard,Video Games - AR/VR
370,single_page_applications,Front-end development
371,international_development,"Website Development (ruby, java)"
372,business_process_automation,Healthcare - AI
373,digital_rights_management,Mixed_9
374,predictive_modeling,Data Science
375,apache_mesos,IT_operations
376,apex_development,IT_operations
377,pinterest,Digital Marketing
378,elm_programming,Programming
379,xamarin,Mobile development
380,aws_programming_and_tools,IT_operations
381,web_security,Cyber Security
382,the_cloud,Cloud - Mixed_21
383,medical_devices,Healthcare - AI
384,university_students,Mixed_22
385,computer_tutoring,Mixed_9
386,user_group,"Website Development (ruby, java)"
387,data_science_using_python,Databases
388,parallel_programming,Databases
389,google,"Website Development (ruby, java)"
390,transhumanism,Healthcare - AI
391,genomics,Data Science
392,digital_lifestyle,Mixed_1
393,wireless_communications,Mixed_15
394,technical_architecture,Cloud - Mixed_21
395,marketing_strategy,Digital Marketing
396,christian_ministry,Mixed_9
397,internet_professionals,"Website Development (ruby, java)"
398,software_freedom,Blockchain
399,engineering,Mixed_15
400,sustainable_development,Mixed_15
401,starting_a_business,Digital Marketing
402,cryptocurrency,Blockchain
403,facebook_marketing,Digital Marketing
404,creative_design,Design (UI/UX)
405,continuous_delivery,IT_operations
406,creative_thinking,3D - Design
407,lawyers,Mixed_22
408,continuous_integration,Mixed_20
409,space_exploration,Mixed_15
410,public_relations,Digital Marketing
411,technologists,Mixed_9
412,graphic_design,Digital Marketing
413,sharepoint,Cloud - Mixed_21
414,adobe,Digital Marketing
415,r_programming_language,Data Science
416,hobby_electronics,Coding - Wearables - IoT - Hardware
417,test_driven_development,Mixed_20
418,women_entrepreneurs,Entrepreneurship
419,facebook,Digital Marketing
420,vlogging,Digital Marketing
421,assist_in_creating_youtube_videos,Mixed_1
422,jira,Mixed_26
423,unity_3d_artists,Video Games - AR/VR
424,pay_per_click,Digital Marketing
425,c#,"Website Development (ruby, java)"
426,accessible_web_design,Design (UI/UX)
427,sql,Databases
428,d3,Data Science
429,golang,Programming
430,behaviour_change,Design (UI/UX)
431,unix,IT_operations
432,sharepoint_architecture,Design (UI/UX)
433,perl,Programming
434,data,Data Science
435,f#_programming,Programming
436,adobe_after_effects,Digital Marketing
437,organisational_culture,Design (UI/UX)
438,"game_design,_game_modding,_3d_modeling",Video Games - AR/VR
439,test_mug,Blockchain
440,professional_development,Entrepreneurship
441,business_process_improvement,Project Management
442,drupal_8,"Website Development (PHP, Drupal)"
443,aws_rds,IT_operations
444,algorithmic_trading,Data Science
445,genetics,Healthcare - AI
446,telecommunications,Mixed_9
447,javascript_libraries,Front-end development
448,high_frequency_trading,Databases
449,app_development,Mobile development
450,startup_businesses,Entrepreneurship
451,environment,Mixed_15
452,electronics_technology,Mixed_15
453,drupal_community,"Website Development (PHP, Drupal)"
454,java_server_side,Programming
455,document_management_systems,"Website Development (PHP, Drupal)"
456,business_architecture,Cloud - Mixed_21
457,climate_change_solutions,Mixed_9
458,scala_lift,Programming
459,hackathons,Coding - Wearables - IoT - Hardware
460,speech_recognition,Data Science
461,designers,Design (UI/UX)
462,branding,Design (UI/UX)
463,python_web_development,Programming
464,drupal_mastering,"Website Development (PHP, Drupal)"
465,atlassian,Mixed_26
466,scrum_in_real_world,Project Management
467,internet_radio,Mixed_1
468,confluence,Mixed_26
469,agile_leadership,Project Management
470,graphical_user_interfaces,Design (UI/UX)
471,linux_server,IT_operations
472,web_programming,"Website Development (ruby, java)"
473,tech_savvy_entrepreneurs,Mixed_22
474,agile_coaching,Project Management
475,oculus_rift,Video Games - AR/VR
476,electronic_privacy,Blockchain
477,lua_programming,Mobile development
478,gaming,Coding - Wearables - IoT - Hardware
479,microsoft_technology,IT_operations
480,networking_for_job_seekers,"Website Development (ruby, java)"
481,computer_networking,IT_operations
482,drupal,"Website Development (PHP, Drupal)"
483,android_sdk,Mobile development
484,scientific_computing,Data Science
485,software_architecture,Mixed_20
486,women_science_technology_engineering_&_mathematics,Coding - Wearables - IoT - Hardware
487,mule_esb,Cloud - Mixed_21
488,programming_with_html_css_php_mysql,"Website Development (PHP, Drupal)"
489,live_coding,Programming
490,wordpress_customization,Wordpress
491,mobile_services,Mobile development
492,video_games,Video Games - AR/VR
493,app_engine,Cloud - Mixed_21
494,groovy_programming_language,Programming
495,togaf,Cloud - Mixed_21
496,google_maps,Mobile development
497,diy_revolution,Mixed_15
498,woodworking,Coding - Wearables - IoT - Hardware
499,ict:_information_communications_technology,Mixed_9
500,customer_development,Project Management
501,product_design,Design (UI/UX)
502,geeks,Digital Marketing
503,opencv,Healthcare - AI
504,ethereum,Blockchain
505,clojurescript,Programming
506,apache_kafka,Databases
507,newsql,Data Science
508,common_lisp,Programming
509,application_programming_interface,Cloud - Mixed_21
510,drone,Healthcare - AI
511,banking,Blockchain
512,web_operations,IT_operations
513,web_and_technology_startups,Mixed_9
514,big_data_analytics,Data Science
515,inventors_and_product_developers,Mixed_9
516,hack,Coding - Wearables - IoT - Hardware
517,owl,Data Science
518,rc_planes:_remote_controlled,Healthcare - AI
519,web_analytics,Data Science
520,google_tv,Mobile development
521,high-tech_ventures,Mixed_9
522,quality,Mixed_26
523,r_users_group,Data Science
524,helping_non-profits,Entrepreneurship
525,kanban_software_development,Project Management
526,customer_retention,Design (UI/UX)
527,virtualization,IT_operations
528,enterprise_business_architecture,Project Management
529,iphone_game_development,Video Games - AR/VR
530,ibeacon,Mixed_15
531,using_mongodb_in_the_cloud,Databases
532,product_marketing,Design (UI/UX)
533,sustainability,3D - Design
534,courses_and_workshops,Coding - Wearables - IoT - Hardware
535,laser_cutting,Mixed_15
536,system_integration,Cloud - Mixed_21
537,animation,3D - Design
538,sql_server_data_mining,Databases
539,hibernate,Programming
540,strategic_organizational_change,Cloud - Mixed_21
541,coders,Coding - Wearables - IoT - Hardware
542,emerging_technologies,Coding - Wearables - IoT - Hardware
543,android_development,Mobile development
544,selling_on_ebay,e-Commerce
545,journalism,Digital Marketing
546,wordpress_websites,Wordpress
547,asp.net,"Website Development (ruby, java)"
548,html5_game_development,Video Games - AR/VR
549,smart_contracts,Blockchain
550,sharepoint_technologies,Cloud - Mixed_21
551,synthetic_biology,Healthcare - AI
552,fintech,Blockchain
553,neo4j,Databases
554,content,Digital Marketing
555,user_experience_research,Design (UI/UX)
556,digital_media,Digital Marketing
557,digital_media_and_social_marketing,Mixed_1
558,data_science,Data Science
559,computing,Mixed_9
560,graphic_design_and_print_production,Digital Marketing
561,stereoscopic_equipment_and_methods,Video Games - AR/VR
562,local_history,"Website Development (PHP, Drupal)"
563,microsoft_windows,IT_operations
564,bioinformatics,Data Science
565,insurance,Mixed_22
566,3d_gaming,Video Games - AR/VR
567,data_governance,Data Science
568,digital_health,Data Science
569,agile_mindset,Project Management
570,software_design,Mixed_20
571,social_media_for_social_change,Healthcare - AI
572,financial_services,Databases
573,3d_animation,3D - Design
574,teachers,Coding - Wearables - IoT - Hardware
575,distributed_systems,Programming
576,game_art,Video Games - AR/VR
577,mobile_user_experience,Design (UI/UX)
578,data_visualization,Data Science
579,growth_hacking,Design (UI/UX)
580,coreos,IT_operations
581,quality_assurance,Mixed_26
582,business_referral_networking,Entrepreneurship
583,geospatial,Data Science
584,life_transformation,Mixed_22
585,kids,"Website Development (ruby, java)"
586,activity_monitors_and_devices,Mixed_15
587,go,Programming
588,unity_3d,Video Games - AR/VR
589,mobile_payment,3D - Design
590,domain_driven_design,Mixed_20
591,open_source_python,Programming
592,fundraising,Digital Marketing
593,lean_six_sigma,Project Management
594,wordpress_theme_development,Wordpress
595,user_research,Design (UI/UX)
596,front-end_development,Front-end development
597,google_app_engine,Mixed_9
598,graph_databases,Databases
599,ui/ux_design,Design (UI/UX)
600,data_warehouses,Data Science
601,sql_server_web_services_+_more_data_access_methods,Databases
602,new_media_and_interactive_design,3D - Design
603,creative_wrting,Video Games - AR/VR
604,gpu_programming,IT_operations
605,ux_strategy,Design (UI/UX)
606,using_twitter_for_business,Digital Marketing
607,software_development_process,Mixed_9
608,software_engineering,"Website Development (ruby, java)"
609,rich_internet_applications,Front-end development
610,social_crm,Data Science
611,physical_computing,Mixed_15
612,iot_hacking,Coding - Wearables - IoT - Hardware
613,metadata,Cloud - Mixed_21
614,.net,"Website Development (ruby, java)"
615,business_intelligence_tools_and_technology,Data Science
616,mobile_learning,Mixed_9
617,gambling,Digital Marketing
618,data_integration,Data Science
619,crm,IT_operations
620,hive,Databases
621,database_development,Databases
622,ppc_-_paid_search,Digital Marketing
623,explore:_agile_scrum_xp_lean_kanban,Project Management
624,building_blackberry_apps_with_titanium,Mixed_9
625,web_2.0,Design (UI/UX)
626,blog_marketing,Digital Marketing
627,virtual_world,Video Games - AR/VR
628,blog_writers,Digital Marketing
629,large_scale_scrum,Project Management
630,.net_developers,"Website Development (ruby, java)"
631,adobe_user_group,Video Games - AR/VR
632,programming_in_r,Data Science
633,ios_game_development,Mobile development
634,finding_wholesale_items_to_sell_on_ebay,e-Commerce
635,digital_project_management,Project Management
636,oracle,Databases
637,business_strategy,Entrepreneurship
638,financial_technology,Blockchain
639,pragmatic_software_development,Programming
640,drupal_security,"Website Development (PHP, Drupal)"
641,virtual_currency,Blockchain
642,professional_engineer,Design (UI/UX)
643,hbase,Databases
644,copyright,Blockchain
645,furniture_design,3D - Design
646,linux_user_group,IT_operations
647,using_web_dev_skills_to_build_mobile_apps,Mixed_9
648,digital_strategy,Digital Marketing
649,digital_identity,Mixed_9
650,geeks_&_nerds,Coding - Wearables - IoT - Hardware
651,local_politics,Mixed_9
652,pentaho,Data Science
653,r_project_for_statistical_computing,Data Science
654,community_management,Digital Marketing
655,salesforce_implementation,IT_operations
656,sem_for_magento,e-Commerce
657,functional_programming_in_python,Programming
658,concurrent_programming,Programming
659,user_interface_design,Design (UI/UX)
660,lamp,"Website Development (PHP, Drupal)"
661,service-oriented_architecture,Cloud - Mixed_21
662,bdd,Mixed_26
663,copywriting_for_small_business_owners,Digital Marketing
664,continuous_deployment,IT_operations
665,salesforce.com_admins,IT_operations
666,dba,Databases
667,learn_wordpress,Wordpress
668,awareness,Mixed_9
669,new_media,Digital Marketing
670,atlassian_toolset,Mixed_26
671,talend,Data Science
672,data_mining,Data Science
673,3d_scanning,3D - Design
674,workshop,3D - Design
675,video_marketing,Digital Marketing
676,internet_talk_radio,Mixed_1
677,startup_pitching,Entrepreneurship
678,using_technology_to_scale_your_business,IT_operations
679,telecommunications_industry,Mixed_9
680,social_technology,Mixed_9
681,wwc,"Website Development (ruby, java)"
682,learning,Coding - Wearables - IoT - Hardware
683,game_programming,Video Games - AR/VR
684,film_and_video_production,Digital Marketing
685,microsoft_sharepoint_technology,Cloud - Mixed_21
686,erlang_programming,Programming
687,amazon,e-Commerce
688,windows_8,Mobile development
689,puppet,IT_operations
690,crafts,3D - Design
691,cryptography,Blockchain
692,gnu/linux,IT_operations
693,aws_s3,IT_operations
694,php_application_development,"Website Development (PHP, Drupal)"
695,information_security,Cyber Security
696,lean,Project Management
697,home_automation,Mixed_15
698,html5,Front-end development
699,agile_portfolio_management,Project Management
700,ux_design,Design (UI/UX)
701,after_effects,Digital Marketing
702,storytelling,3D - Design
703,salesforce.com_chatter,IT_operations
704,craft_cms,"Website Development (PHP, Drupal)"
705,extreme_programming,Mixed_20
706,independent_filmmaking,Digital Marketing
707,self-empowerment,Mixed_15
708,crowdsourcing,Entrepreneurship
709,visual_studio,Mixed_20
710,mhealth,Healthcare - AI
711,scrumban,Project Management
712,bigdata,Data Science
713,rapid_prototyping,3D - Design
714,metrics,Cloud - Mixed_21
715,mobile_games,Video Games - AR/VR
716,windows_8_metro_app_development,Mobile development
717,legal_industry,Mixed_22
718,real_life_uses_of_aws_and_cloud_servers,IT_operations
719,cloud_foundry,IT_operations
720,digital_publishing,Digital Marketing
721,embedded_systems_programming,Video Games - AR/VR
722,datomic,Programming
723,javascript,Front-end development
724,insurance_professionals,Mixed_22
725,professional_networking,Entrepreneurship
726,user_testing,Design (UI/UX)
727,javascript_applications,Front-end development
728,cloud_computing,IT_operations
729,coding_for_beginners,Programming
730,iphone,Mobile development
731,nonprofit_marketing,Mixed_1
732,gis,Mobile development
733,product_development,Design (UI/UX)
734,artificial_intelligence,Data Science
735,ecommerce_marketing,e-Commerce
736,mathematics,Data Science
737,technology_and_crisis_response,Data Science
738,legal,Mixed_9
739,marketing,Digital Marketing
740,basics_of_iphone_app_development,Mobile development
741,netsquared,Digital Marketing
742,embedded_linux,Mixed_9
743,knowledge_sharing,Cloud - Mixed_21
744,testing_web_site_performance,Mixed_26
745,seniors,Mixed_9
746,cmmi,Mixed_26
747,julia,Data Science
748,investing,Entrepreneurship
749,ansible,IT_operations
750,msp,Project Management
751,electronics_as_a_hobby,Mixed_15
752,industrial_internet_of_things,Mixed_15
753,secure_software_design,Cyber Security
754,photoshop,Digital Marketing
755,apache,Databases
756,wordpress_users,Wordpress
757,javascript_testing,Front-end development
758,symfony2,"Website Development (PHP, Drupal)"
759,google_analytics,Data Science
760,system_administration,IT_operations
761,data_storage,IT_operations
762,digital_&_social_media,Digital Marketing
763,science_technology_engineering_math,Mixed_15
764,iphone_ipad_ios_developers,Mobile development
765,websocket,Mixed_9
766,quants,Data Science
767,apache_pig,Databases
768,functional_reactive_programming,Mixed_9
769,predictive_analytics,Data Science
770,self_tracking,Mixed_15
771,career,"Website Development (ruby, java)"
772,content_management_systems,"Website Development (PHP, Drupal)"
773,jvm_languages,Programming
774,career_network,"Website Development (ruby, java)"
775,clean_code,Programming
776,personal_kanban,Project Management
777,"html,_xhtml,_css_&_javascript",Front-end development
778,postgresql,Databases
779,government,"Website Development (PHP, Drupal)"
780,microcontrollers,Coding - Wearables - IoT - Hardware
781,sharepoint_professionals,Design (UI/UX)
782,jesus_christ,Mixed_9
783,opengl,Video Games - AR/VR
784,digital_marketing,Digital Marketing
785,algorithms,Data Science
786,small_business_marketing_strategy,Entrepreneurship
787,green_technology,Mixed_9
788,diy_(do_it_yourself),Coding - Wearables - IoT - Hardware
789,indie_games,Video Games - AR/VR
790,behaviour_driven_testing,Mixed_26
791,networking_for_marketing_professionals,Digital Marketing
792,socially_responsible_business,Mixed_9
793,statistical_computing,Data Science
794,product_management_in_agile,Project Management
795,software_product_management,Design (UI/UX)
796,digital_storytelling,Digital Marketing
797,silverlight,"Website Development (ruby, java)"
798,decentralization,Blockchain
799,data_center_and_operations_automation,IT_operations
800,belief_networks,Data Science
801,test_automation_frameworks,Mixed_26
802,branded_content,Digital Marketing
803,data_analysis,Data Science
804,transmedia_production,Video Games - AR/VR
805,travel_blogging,Digital Marketing
806,agile_and_scrum,Project Management
807,lean_project_management,Project Management
808,apache_hadoop,Data Science
809,fab_lab,3D - Design
810,repair,Coding - Wearables - IoT - Hardware
811,text_analytics,Data Science
812,jasmine,Mixed_26
813,ux_/_ui_design,Design (UI/UX)
814,net_neutrality,Blockchain
815,invention,Mixed_15
816,angular,Front-end development
817,j2ee,Programming
818,rendering,3D - Design
819,pair_programming,Programming
820,usability,Design (UI/UX)
821,corona_sdk,Mobile development
822,print_design,3D - Design
823,scaling_agile,Project Management
824,amazon_web_services,IT_operations
825,enterprise_content_management_ecm,"Website Development (PHP, Drupal)"
826,servers,IT_operations
827,scrum_alliance,Project Management
828,digital_access,Digital Marketing
829,umbraco,"Website Development (PHP, Drupal)"
830,hardware,Coding - Wearables - IoT - Hardware
831,personal_privacy_issues,Blockchain
832,twitter,Digital Marketing
833,bluemix,Databases
834,geography,Mixed_9
